Recorder,Outfit Description,,,,Time,Date,Score,Notes
,Top,,Bottom,,(nearest 10 min),mm/dd/yy,"catcall = 2
maybe = 1",
,Tightness,Coveredness,Tightness,Coveredness,,,,
,,,,,,,,
A,Loose,Uncovered,Loose,Uncovered,20,3/13/23,5,to and from beach run in the morning
B ,Loose,Covered,Loose,Covered,30,3/13/23,0,
A,Loose,Covered,Tight,Uncovered,40,3/14/23,0,to and from beach evening
B,Loose,Covered,Loose,Covered,10,3/14/23,0,
A,Loose,Covered,Loose,Uncovered,40,3/15/23,3,
B,Loose,Covered,Loose,Covered,10,3/15/23,0,
A,Loose,Uncovered,Loose,Uncovered,30,3/16/23,2,
B,Loose,Covered,Loose,Covered,10,3/16/23,0,
A,Tight,Uncovered,Loose,Uncovered,10,3/16/23,2,
B,Tight,Uncovered,Tight,Uncovered,30,3/17/23,0,
B,Loose,Covered,Loose,Covered,20,3/20/23,0,
B,Loose,Covered,Loose,Uncovered,30,3/20/23,1,no bra. peace sign from gargabe truck driver
B,Loose,Covered,Loose,Covered,30,3/21/23,0,
A,Tight,Uncovered,Loose,Uncovered,40,3/27/23,0,
A,Loose,Covered,Tight,Uncovered,40,3/29/23,2,
A,Tight ,Covered,Loose,Uncovered,30,3/29/23,0,
B + A,Tight,Uncovered,Loose,Uncovered,70,3/31/23,8,Friday night walking to Condado
A,Tight,Uncovered,Loose,Uncovered,40,12/1/23,2,
A,Tight ,Uncovered,Tight,Uncovered,10,12/2/23,2,
C ,Tight ,Uncovered,Loose,Uncovered ,15,12/2/23,2,Walking dogs on Vega Baja malecón. Two hard stares from driver bys - one might have said something but unsure 
C y mi madre ,Tight,Uncovered,Loose ,Uncovered ,20,12/3/23,2,Same outfit as previous night. Man obviously yelled holaaa out of his topless car. 
B,Loose,Uncovered,Loose,Uncovered,20,12/3/23,1,"To and from Pueblo in the dark, Honk and eye contact but I couldn't tell"
B,Tight,Uncovered,Loose,Uncovered,30,12/6/23,0,Morning run on Ashford with no shirt
D,Loose,Covered,Tight,Uncovered,30,12/3/23,6,Beer at night in Calle Sera
D,Loose,Covered,Tight,Covered,30,12/5/23,2,Walk to Walmart + Peko Peko
E,Tight,Uncovered,Loose,Covered,20,12/7/23,1,Had airpods in but man looked at me for a while and I nioticed he was moving his lips
B,Loose,Covered,Loose,Uncovered,15,12/8/23,0,
E,Loose,Covered,Loose,Covered,40,12/8/23,0,
E,Tight ,Uncovered,Loose,Covered,120,12/9/23,1,
E,Tight ,Uncovered,Loose,Covered,10,12/9/23,3,
E,Loose,Uncovered,Loose,Uncovered,20,12/10/23,1,
B,loose,uncovered ,loose,uncovered ,30,12/9/23,0,no cat calls on louiza on a Saturday night
E,Loose,Uncovered,Loose,Uncovered,60,12/10/23,0,
A,Loose,covered,tight,uncovered,40,12/14/23,1,midday Santurce
E,loose,covered,tight,uncovered,120,12/16/23,3,"angry man with a megaphone shamed me for hairy legs, i didn't count it because it wasn't positive attention? idk"
E,tight,uncovered,tight,uncovered,30,12/16/23,0,viejo san juan
E,loose,covered,loose,covered,20,12/18/23,2,kissy face
A,Tight,Uncovered,Tight,Covered,10,12/16/23,2,honk from moto
A,Loose,Covered,Loose,Covered,40,12/22/23,0,going to beach in morning
A,Tight,Uncovered,Tight,Uncovered,10,12/26/23,2,"two separate men yelled ""buen dia"" from vehicle -- not sure if that's really a catcall so one point each"
E,loose,covered,loose,covered,60,1/7/24,1,
A,loose,covered,loose,uncovered,10,1/8/24,2,
F,loose,covered,loose,uncovered,30,12/11/23,1,w/ dog
F,tight,uncovered,tight,covered,10,12/12/23,1,running in sports bra and leggings
F,loose,covered,tight,covered,40,12/13/23,2,w/ dog
F,loose,covered,loose,uncovered,20,12/14/24,2,
F,loose,coveed,loose,covered,30,1/2/24,2,w/ dog
F,tight,uncovered,tight,covered,30,1/7/24,2,Cat called twice. w/ dog